method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
gCANS,7,7,100000,100000,82,-0.0942288016386853,-0.5499388054378248,0.8286558418737762
gCANS,7,8,5000,4200,5,-0.07065401982134156,-0.5499388054378248,0.8715238511581457
gCANS,7,8,10000,9258,11,-0.07580697764198362,-0.5499388054378248,0.8621537943996676
gCANS,7,8,20000,19830,23,-0.09019882623800779,-0.5499388054378248,0.835983885213924
gCANS,7,8,50000,49924,53,-0.11956953098247881,-0.5499388054378248,0.7825766616209499
gCANS,7,8,100000,99914,101,-0.19994364119226954,-0.5499388054378248,0.6364256546088111
gCANS,7,9,5000,4200,5,0.04033361969055092,-0.5499388054378248,1.0733420142236372
gCANS,7,9,10000,9240,11,0.020556471899447145,-0.5499388054378248,1.0373795624098237
gCANS,7,9,20000,19320,23,-0.01697728229220673,-0.5499388054378248,0.9691287791944586
gCANS,7,9,50000,49560,59,-0.11008439610235458,-0.5499388054378248,0.7998242804220504
